P $Q_A$ $Q_B$ $Q_D$
 1 0.000000385 0.000004589 0.000010887
 2 0.000004047 0.000034414 0.000039380
 3 0.000027748 0.000172070 0.000129508
 4 0.000139730 0.000645263 0.000387215
 5 0.000550934 0.001935788 0.001052559
 6 0.001770860 0.004839470 0.002601235
 7 0.004770481 0.010370294 0.005844553
 8 0.010989144 0.019444300 0.011938826
 9 0.021978287 0.032407167 0.022172292
 10 0.038618991 0.048610751 0.037436753
 11 0.060185440 0.066287387 0.057467775
 12 0.083829720 0.082859234 0.080202741
 13 0.105017451 0.095606809 0.101763646
 14 0.118948338 0.102435867 0.117390980
 15 0.122346862 0.102435867 0.123116261
 16 0.114700183 0.096033625 0.117390980
 17 0.098314443 0.084735551 0.101763646
 18 0.077247062 0.070612960 0.080202741
 19 0.055757278 0.055747073 0.057467775
 20 0.037038763 0.041810305 0.037436753
 21 0.022676794 0.029864504 0.022172292
 22 0.012810916 0.020362162 0.011938826
 23 0.006683956 0.013279671 0.005844553
 24 0.003222622 0.008299794 0.002601235
 25 0.001436369 0.004979876 0.001052559
 26 0.000591910 0.002873006 0.000387215
 27 0.000225490 0.001596114 0.000129508
 28 0.000079382 0.000855061 0.000039380
 29 0.000025809 0.000442273 0.000010887
 30 0.000007743 0.000221137 0.000002736
 31 0.000002141 0.000107002 0.000000625
 32 0.000000545 0.000050157 0.000000130
 33 0.000000127 0.000022799 0.000000025
 34 0.000000027 0.000010058 0.000000004
 35 0.000000005 0.000004311 0.000000001
 36 0.000000001 0.000001796 0.000000000
 37 0.000000000 0.000000728 0.000000000
 38 0.000000000 0.000000287 0.000000000
 39 0.000000000 0.000000111 0.000000000
 40 0.000000000 0.000000041 0.000000000
 41 0.000000000 0.000000015 0.000000000
 42 0.000000000 0.000000005 0.000000000
 43 0.000000000 0.000000002 0.000000000
 44 0.000000000 0.000000001 0.000000000
 45 0.000000000 0.000000000 0.000000000
 46 0.000000000 0.000000000 0.000000000
 47 0.000000000 0.000000000 0.000000000
 48 0.000000000 0.000000000 0.000000000
 49 0.000000000 0.000000000 0.000000000
 50 0.000000000 0.000000000 0.000000000
